page_id,page_name,disclaimer,amount_spent,number_of_ads,organisation_type
358235820866228,Tuusulan puolesta ry,Tuusulan puolesta ry,1860,129,Ry
471835972836669,Oulun Vasemmisto,Oulun Vasemmisto,1819,44,Vas
286707821444604,Joensuun Perussuomalaiset,Joensuun Perussuomalaiset,1791,38,PS
1619665441594731,Uudenmaan Keskustanaiset,Uudenmaan Keskustanaiset,1766,5,Kesk
536184636556062,Oulun Kokoomus,Oulun Kokoomus,1747,8,Kok
109192862437316,Vantaan Sanomat,Vantaan Sanomat,1703,112,Oy
152603821504784,SFP i Esbo / RKP Espoo,SFP i Esbo / RKP Espoo,1695,38,RKP
174049752448222,Kumpi on koukussa?,Kumpi on koukussa?,1673,5,NaN
193483830745465,Kuopion Kokoomus,Kuopion Kokoomus,1647,61,Kok
275285312534515,Kirkkonummen Vihreät - De Gröna i Kyrkslätt,Kirkkonummen Vihreät - De Gröna i Kyrkslätt,1643,11,Vihr
480848058641447,Jyväskylän Keskusta,Jyväskylän Keskusta,1585,20,Kesk
174819292560785,Finlands svenska socialdemokrater - FSD,Finlands svenska socialdemokrater,1522,15,SDP
276582945717,Varsinais-Suomen Kokoomus,Varsinais-Suomen Kokoomus,1513,8,Kok
123692197698005,UN Women Suomi,Suomen UN Women,1511,18,Ry
120710234622547,Vaasan Kokoomuslaiset,Kokoomuksen Vaasan Kunnallisjärjestö,1502,64,Kok
103080291806390,Kemin Demarit,Kemin Demarit,1496,75,SDP
108538215848910,Länsi-Uusimaa,Länsi-Uusimaa,1489,47,Oy
380274865362580,Sfp i Raseborg,Genero Oy AB,1482,3,RKP
271473022894129,Lahden Demarit,Lahden Sos.-Dem. Kunnallisjärjestö ry,1452,133,SDP
117401001618470,ESS.fi - Etlari verkossa,Etelä-Suomen Sanomat,1447,31,Oy
380793272085420,SDP Kuopio,SDP Kuopio,1425,23,SDP
169404349771683,SFP i Egentliga Finland / RKP Varsinais-Suomi,SFP i Egentliga Finland,1422,55,RKP
572470002618855,Valentina Berihuete Duval - KD,Jlo consulting,1420,23,KD
1380845418823068,Hämeen Sosialidemokraatit,Hämeen Sosialidemokraatit,1415,13,SDP
203199670136654,Kempeleen Kokoomuslaiset,Kempeleen Kokoomuslaiset,1415,50,Kok
137628126298370,Pohjois-Savon Keskusta,Pohjois-Savon Keskusta,1381,70,Kesk
150470741712965,Sfp i Kyrkslätt,Sfp i Kyrkslätt,1371,27,RKP
118714761478292,Keski-Uusimaa,Keski-Uusimaa,1339,55,Oy
617964051717020,SFP Vasa - RKP Vaasa,Svenska folkpartiet Vasa,1333,10,RKP
126757820675243,KSML.fi - Keskisuomalainen,Keskisuomalainen,1332,41,Oy
151786398703,Palvelualojen ammattiliitto PAM ry,Palvelualojen ammattiliitto PAM,1319,10,Ay
116383805046145,Aamuposti,Aamuposti,1318,43,Oy
125564877468299,Sanomalehti Karjalainen,Sanomalehti Karjalainen,1314,12,Oy
584449085331949,Meks,Meks,1261,35,NaN
242197705820950,SEY Suomen eläinsuojelu,SEY Suomen eläinsuojelu,1239,7,Ry
196680053873063,Kokoomus Porissa,Kokoomus Porissa,1225,17,Kok
337865799564409,K-ryhmä,K-ryhmä,1199,2,Oy
199931586695495,Etelä-Pohjanmaan vihreät,Etelä-Pohjanmaan Vihreät,1199,13,Vihr
401003853317748,Tampereen Keskusta,Tampereen Keskusta,1190,24,Kesk
221851144497973,Porvoon Vihreät - De Gröna i Borgå,Porvoon Vihreät - De Gröna i Borgå,1154,51,Vihr
204843542888775,Tampereen Vihreät,Tampereen Vihreät,1136,25,Vihr
284401019712,Lapin Kansa,Kaleva 365 Oy,1131,6,Oy
114107614949792,Kittilän Vasemmisto,Kittilän Vasemmisto,1120,21,Vas
297768788714,Kaleva,Kaleva365 Oy,1118,4,Oy
107552192667016,Diakonissalaitos,Diakonissalaitos,1111,21,Kirkko
105204505765329,SFP:s Samkrets - RKP:n Yhteispiiri,SFP:s Samkrets - RKP:n Yhteispiiri,1110,20,RKP
346589775365362,Otalammen Työväenyhdistys r.y.,Otalammen työväenyhdistys ry,1109,8,Ry
