page_id,page_name,disclaimer,amount_spent,number_of_ads,organisation_type
107871524684062,Haapaveden Vasemmisto,Haapaveden Vasemmisto,254,8,Ay
281562506546,Keski-Suomen Kokoomusnuoret,Keski-Suomen Kokoomusnuoret,253,2,Kok
1054162048024796,Keuruun seudun Kokoomus ry,Keuruun Kokoomus ry,252,2,Kok
227943890996249,Pieksämäen Keskusta,Keskustan Pieksämäen Kunnallisjärjestö ry,252,3,Kesk
425951457754741,Keskusta Kangasala,Keskusta Kangasala,251,3,Kesk
155668057786557,Raahen Seutu & Raahelainen,Kaleva365 Oy,251,2,Oy
100806291888117,Sipoon Vihreät - De Gröna i Sibbo,Sipoon Vihreät - De Gröna i Sibbo,251,5,Vihr
106941484570210,Keskusta Pietarsaari - Centern Jakobstad,Keskusta Pietarsaari - Centern Jakobstad,250,3,Kesk
528063387053983,Vetovoimainen Ikaalinen VVI,Vetovoimainen Ikaalinen VVI,247,20,Ry
169477316356,Solidaarisuus,Solidaarisuus,246,5,Ry
568974303294711,Rautalammin keskusta,Rautalammin keskusta,246,9,Kesk
354239398976222,Koillinen puhuu - Vasemmisto vastaa,Koillinen puhuu - Vasemmisto vastaa,244,6,Vas
155492884488412,Tekniikan akateemiset TEK,Tekniikan akateemiset TEK,244,3,Ry
156636781043514,Keskustan Etelä-Pohjanmaan piiri,Keskustan Etelä-Pohjanmaan piiri ry,244,4,Kesk
124767900874820,Kaakkois-Suomen Vihreät,Kaakkois-Suomen vihreät ry,240,3,Vihr
113823118631579,Helsingin Uutiset,Helsingin Uutiset,240,19,Oy
152516658128379,Pohjois-Karjalan Keskustanuoret,Keskustanuorten Pohjois-Karjalan Piiri ry.,240,8,Kesk
104311011701918,Teuvan Keskusta,Keskustan Teuvan Kunnallisjärjestö ry,239,10,Kesk
1651761554847136,Porvoon perussuomalaiset,Porvoon perussuomalaiset,239,4,PS
503582719667337,Someron Keskusta,Someron Keskusta ry,239,30,Kesk
73631194779,Viite - Tieteen ja teknologian vihreät,Viite - Tieteen ja teknologian vihreät,239,2,Vihr
453029511518450,Etelä-Savon maakunta,Etelä-Savon maakunta,237,1,Maakunta
265719833591887,Riihimäen Kokoomus,Riihimäen Kokoomus Ry,237,10,Kok
1175676652533811,Kestävä Tampere,Tampereen kaupunki / Hiilineutraali Tampere 2030,236,4,Ry
241790526278222,Nokian Kristillisdemokraatit,Nokian Kristillisdemokraatit,233,15,KD
293493520082,Kalevi Sorsa -säätiö,Kalevi Sorsa -säätiö,232,12,Ry
190199871457996,Uusi Suunta Jämsä,Uusi Suunta Jämsä,225,7,Ry
939236932775893,Vihdin Demarit,Vihdin Demarit,224,5,SDP
535074769697199,Ratikkavaalit,These ads ran without a disclaimer,223,5,Ry
120152831996760,Orimattilan Perussuomalaiset ry,Orimattilan Perussuomalaiset ry,214,6,PS
670760459716834,Hyvinkään Perussuomalaiset virallinen,Hyvinkään Perussuomalaiset virallinen,210,10,PS
235518366487680,SKP:n Uudenmaan piirijärjestö,Suomen kommunistinen puolue,209,9,SKP
542029519001560,Parikkalan Sosialidemokraatit ry,Parikkalan Sosialidemokraatit ry,207,25,SDP
284824508371071,Kontiolahden Keskusta,Kontiolahden Keskusta,207,5,Kesk
100298015049348,Nurmon Tasatyöntöklubi,Nurmon Tasatyöntöklubi,206,11,Ry
900334436651383,Oulun Keskustanuoret,Keskustan Oulun kunnallisjärjestö ry,204,7,Kesk
391369917885202,Sodankylän kokoomus,Sodankylän kokoomus,201,13,Kok
316760665177444,Avioliitto on naisen ja miehen välinen liitto,Aito avioliiitto ry,200,1,Ry
127911164498,Sitra,Sitra,200,5,Ry
133459136755839,Ihmisoikeusliitto,Ihmisoikeusliitto,200,5,Ry
340578349898579,KD Satakunta,KD Pori,200,4,KD
106289218904705,Yksinasuvat,Yksinasuvat,200,1,Ry
136984663432216,Tammelan Kokoomus,Tammelan Kokoomus,200,1,Kok
116280055091202,Helsingin yliopiston avoin yliopisto,Helsingin yliopiston avoin yliopisto,200,1,Yliopisto
254013244688721,Valkeakosken Vasemmisto,Valkeakosken Vasemmisto,200,4,Vas
226649830736762,SKP Jyväskylä,SKP:N Jyväskylän piirijärjestö ry,199,11,SKP
107081152704431,Rauman Eteläiset sosialidemokraatit,Rauman Eteläiset sosialidemokraatit,198,5,SDP
598466346861843,Forssan seudun perussuomalaiset,Forssan seudun perussuomalaiset,198,2,PS
491112017633877,Greenreality Lappeenranta,Greenreality Lappeenranta,198,2,Ry
269694033212652,SFP i Pargas,SFP i Pargas,198,1,RKP
2026683107368378,Päijät-Hämeen PerusNaiset ry,Päijät-Hämeen PerusNaiset ry,197,4,PS
152875336627008,KD Rautavaara,KD Rautavaara,197,5,KD
199280996938840,Kirkkonummen Vasemmisto,Kirkkonummen Vasemmisto,195,4,Vas
316516011539684,Valta Kuuluu Kansalle r.p.,Valta kuuluu kansalle r.p.,194,2,VKK
1572653312978362,Kuopion Kristillisdemokraatit - KD Kuopio,Kuopion Kristillisdemokraatit - KD Kuopio,192,2,KD
2013130122094464,Kokkolan Vasemmisto,Kokkolan Vasemmisto,192,39,Vas
180192098660221,Helsingin Vihreät,Helsingin Vihreät,192,5,Vihr
146594745401444,Iisalmen Sanomat,Iisalmen Sanomat,190,4,Oy
105097106241417,Espoon Vihreät,Espoon Vihreät,187,1,Vihr
152603821504784,SFP i Esbo / RKP Espoo,SFP i Esbo,183,6,RKP
186519195132281,Svenska Kvinnoförbundet i Sörnäs,Svenska Kvinnoförbundet i Sörnäs,179,4,Ry
112463956995328,Kehittyvät Kaupungit,These ads ran without a disclaimer,172,4,Ry
575277942639307,Laukaan Kokoomus ry,Laukaan Kokoomus ry,172,3,Kok
1887653201467983,Pohjois-Pohjanmaan hyvinvointialue,Pohjois-Pohjanmaan hyvinvointialue,172,1,Hyvinvointialue
454083317949986,SFP Kristinestad,SFP Kristinestad,171,6,RKP
269427337235,Kotkan seudun Vihreät,Kotkan seudun Vihreät,170,5,Vihr
104941684969471,Alajärven vihreät,Alajärven Vihreät,170,6,Vihr
106788212687533,Interpedia,Interpedia,170,1,NaN
317469493358,Pieksämäen Kokoomus,Pieksämäen Kokoomus ry,170,3,Kok
101645133256358,Vesilahden Kokoomus ry,Vesilahden Kokoomus ry.,169,4,Kok
107724867561444,Liike Nyt Lahti,Liike Nyt Lahti r.y.,168,2,LiikeNyt
621320841056790,Rovaniemelle talviolympialaiset 2042,Evigo Oy,164,6,Oy
164760106883850,Koillissanomat,Kaleva365 Oy,164,2,Oy
771520579541730,SFP kommunorganisation i Nykarleby,Svenska folkpartiets kommunorganisation i Nykarleby,161,5,RKP
180931678597534,Seinäjoen Kokoomus ry,Seinäjoen Kokoomus ry,160,12,Kok
307590951846,Jyväskylän keskustaopiskelijat,Jyväskylän keskustaopiskelijat,159,1,Ry
162050703823354,Turun yliopisto - University of Turku,Turun yliopisto - University of Turku,158,2,Yliopisto
1655344091404166,Sosialidemokraatit Loviisassa,Sosialidemokraatit Loviisassa,158,5,SDP
298255610248061,Tasa-arvoasiain neuvottelukunta,Tasa-arvoasiain neuvottelukunta,155,5,Ry
105103331766723,Äänestä vuosaarelaista,Äänestä vuosaarelaista,153,1,Ry
107107682652732,Iisalmen Keskusta,Iisalmen Keskusta,151,6,Kesk
356301551123582,SFP i Österbotten,Svenska folkpartiet i Österbotten r.f.,150,1,RKP
127195574005414,Finnwatch,Finnwatch,150,1,Ry
259415340787861,Kymenlaakson Keskusta,Keskustan Kymenlaakson piiri,150,2,Kesk
202623459911741,Kansalaisopistot,Kansalaisopistojen liitto KoL – Medborgarinstitutens förbund MiF ry,150,1,Ry
699097956820901,KD Riihimäki,KD Riihimäki,149,6,KD
302619929890655,A-klinikkasäätiö,A-klinikkasäätiö,149,3,Ry
714428062053182,Länsi-Vantaan Demarit,Länsi-Vantaan Demarit,149,6,SDP
100163709232524,"Perussuomalaiset ry, Vihti","Perussuomalaiset ry, Vihti",146,4,PS
1379271129032645,Loviisan Keskusta,Loviisan Keskusta,145,5,Kesk
331080726764885,SDP Järvenpää,SDP Järvenpää,145,4,SDP
200875973334,MTK,MTK,144,1,Ry
558754257476201,Turun Keskustaopiskelijat,Turun Keskustaopiskelijat,143,2,Ry
486887815127034,Keski-Suomen Tieteen ja teknologian vihreät,Keski-Suomen Tieteen ja teknologian vihreät ry,142,19,Ry
182345348793598,SDP Lappeenranta,SDP Lappeenranta,141,5,SDP
411612645521465,MAF Suomi,MAF Suomi,140,1,Ry
101752679432823,Helsinginniemen demarit,Helsinginniemen demarit,140,2,SDP
316429945426,Aalto University,Aalto University,139,1,Yliopisto
1740850902798498,Keskustan Ylöjärven kunnallisjärjestö ry,Keskustan Ylöjärven kunnallisjärjestö ry,139,4,Kesk
117062289700199,Eläinvihreät ry,Eläinvihreät ry,139,1,Ry
10150158553110727,Peimarin Vihreät Ry,Peimarin Vihreät Ry,139,11,Vihr
525914024092136,Tulevaisuuden Rovaniemi,Tulevaisuuden Rovaniemi,137,3,Ry
294810410627856,Keravan Keskusta,Keskustan Keravan kuntayhdistys ry,135,12,Ry
258264887587003,SFP i Pojo,SFP i Pojo,134,5,RKP
1594046593961673,Tuusulanjärven Kokoomus,Tuusulanjärven Kokoomus,133,3,Kok
305608418141,Ylä-Karjala,Ylä-Karjala,133,2,Maakunta
577751965416144,SDP Iisalmi,Iisalmen Sos. Dem. Työväenyhdistys,132,6,SDP
264454860674953,Pidetään Orimattila oikeilla raiteilla,Pidetään Orimattila oikeilla raiteilla,130,3,Ry
131524090233337,Turun Sanomat,Turun Sanomat,129,3,Oy
460987123963125,Orimattilan Kokoomus,Orimattilan Kokoomus,129,5,Kok
479223435433590,Pietarsaaren Vihreät - De Gröna i Jakobstad,Pietarsaaren vihreät De Gröna i Jakobstad,128,9,Vihr
1507409756235772,Työsuojeluhallinto,"Pohjois-Suomen aluehallintovirasto, työsuojelun vastuualue",128,3,Valtio
183587274993329,Orimattilan Vihreät,Orimattilan Vihreät,127,6,Vihr
170212483059441,Lapin Keskustanuoret,Lapin Keskustanuoret,126,5,Kesk
101610201831572,Sotkamon demarit,Sotkamon demarit,125,3,SDP
105910711473696,Keskustan Nurmeksen paikallisyhdistys,Keskustan Nurmeksen paikallisyhdistys,122,9,Kesk
1359345414136105,Isonkyrön Kokoomus,Isonkyrön Kokoomus,121,1,Kok
523783077486384,Perussuomalaisten Satakunnan piiri ry,Perussuomalaisten Satakunnan Piiri ry,121,2,PS
239254512799560,KSL-opintokeskus,KSL-opintokeskus,120,2,Yliopisto
1648711915380242,Marttilan Kokoomus,Marttilan Kokoomus,120,3,Kok
328942167167865,Pedersöre socialdemokrater,Pedersöre socialdemokrater,120,2,SDP
334229024584719,Savonlinnan Työväenyhdistys,Savonlinnan Työväenyhdistys,120,12,Ry
345895801426,Finska Missionssällskapet,Finska Missionssällskapet,116,5,Ry
381408718605996,Vantaan Keskusta,Vantaan Keskusta,114,4,Kesk
1409173142651264,Kyrkslätt Svenska Socialdemokrater,Kyrkslätt Svenska Socialdemokrater,113,7,SDP
928014980626945,Työttömien Keskusjärjestö ry,Työttömien Keskusjärjestö ry,113,3,Ry
110426971446380,Lapin Sitoutumattomat ry.,Lapin Sitoutumattomat ry.,112,3,Ry
526327163901903,Sauvon SDP,Sauvon SDP,110,5,SDP
102221958712400,Keskusta Kemissä,Keskusta Kemissä,110,5,Kesk
105249541798257,Ähtärin Perussuomalaiset,Ähtärin Perussuomalaiset,108,25,PS
205256216156692,Pöytyän Kokoomus,Pöytyän Kokoomus,108,6,Kok
467127863319500,Jyväskylän Sosialidemokraatit,Jyväskylän Sos.dem. Kunnallisjärjestö ry,105,3,SDP
212257028078,Toisenlainen Lahja,Toisenlainen Lahja,103,9,Ry
1383959085212440,Turun SDP,Turun SDP,103,5,SDP
651736128301233,SDP Pornainen,SDP Pornainen,102,1,SDP
908713169185916,KD Keski-Suomi,KD Keski-Suomi,102,3,KD
149046132210876,Kangasalan Vihreät,Kangasalan Vihreät,101,4,Vihr
