organisation_type,votes,amount_spent,votes_admoney_ratio
Kok,529542,130943,0.2472759478945957
PS,184616,46623,0.2525404081986393
SDP,557768,58838,0.10548830338061703
Kesk,396630,57957,0.14612359125633462
Vihr,254172,71739,0.2822458807421746
Vas,224005,49968,0.2230664494096114
RKP,112922,18792,0.16641575600857228
KD,86428,18116,0.20960799740824732
LiikeNyt,10481,2637,0.2515981299494323
