page_id,page_name,disclaimer,amount_spent,number_of_ads,organisation_type,price_per_ad
127911164498,Sitra,Sitra,200,5,Ry,40.0
133459136755839,Ihmisoikeusliitto,Ihmisoikeusliitto,200,5,Ry,40.0
316760665177444,Avioliitto on naisen ja miehen välinen liitto,Aito avioliiitto ry,200,1,Ry,200.0
491112017633877,Greenreality Lappeenranta,Greenreality Lappeenranta,198,2,Ry,99.0
186519195132281,Svenska Kvinnoförbundet i Sörnäs,Svenska Kvinnoförbundet i Sörnäs,179,4,Ry,44.75
112463956995328,Kehittyvät Kaupungit,These ads ran without a disclaimer,172,4,Ry,43.0
307590951846,Jyväskylän keskustaopiskelijat,Jyväskylän keskustaopiskelijat,159,1,Ry,159.0
298255610248061,Tasa-arvoasiain neuvottelukunta,Tasa-arvoasiain neuvottelukunta,155,5,Ry,31.0
105103331766723,Äänestä vuosaarelaista,Äänestä vuosaarelaista,153,1,Ry,153.0
202623459911741,Kansalaisopistot,Kansalaisopistojen liitto KoL – Medborgarinstitutens förbund MiF ry,150,1,Ry,150.0
127195574005414,Finnwatch,Finnwatch,150,1,Ry,150.0
302619929890655,A-klinikkasäätiö,A-klinikkasäätiö,149,3,Ry,49.666666666666664
200875973334,MTK,MTK,144,1,Ry,144.0
558754257476201,Turun Keskustaopiskelijat,Turun Keskustaopiskelijat,143,2,Ry,71.5
486887815127034,Keski-Suomen Tieteen ja teknologian vihreät,Keski-Suomen Tieteen ja teknologian vihreät ry,142,19,Ry,7.473684210526316
411612645521465,MAF Suomi,MAF Suomi,140,1,Ry,140.0
117062289700199,Eläinvihreät ry,Eläinvihreät ry,139,1,Ry,139.0
525914024092136,Tulevaisuuden Rovaniemi,Tulevaisuuden Rovaniemi,137,3,Ry,45.666666666666664
294810410627856,Keravan Keskusta,Keskustan Keravan kuntayhdistys ry,135,12,Ry,11.25
264454860674953,Pidetään Orimattila oikeilla raiteilla,Pidetään Orimattila oikeilla raiteilla,130,3,Ry,43.333333333333336
334229024584719,Savonlinnan Työväenyhdistys,Savonlinnan Työväenyhdistys,120,12,Ry,10.0
345895801426,Finska Missionssällskapet,Finska Missionssällskapet,116,5,Ry,23.2
928014980626945,Työttömien Keskusjärjestö ry,Työttömien Keskusjärjestö ry,113,3,Ry,37.666666666666664
110426971446380,Lapin Sitoutumattomat ry.,Lapin Sitoutumattomat ry.,112,3,Ry,37.333333333333336
212257028078,Toisenlainen Lahja,Toisenlainen Lahja,103,9,Ry,11.444444444444445
